Mercado,Produto,Preço Varejo (R$),ICMS (%),ICMS (R$),PIS (%),PIS (R$),COFINS (%),COFINS (R$),IPI (%),IPI (R$),Total Tributos (R$),Preço Líquido (R$)
REIS,Cerveja antartica,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
REIS,Leite Piracanjuba,6.0,7.00%,0.42,1.650%,0.1,7.60%,0.46,0.00%,0.0,0.97,5.03
REIS,Leite Italac,7.0,7.00%,0.49,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.14,5.86
REIS,Leite LeitBom,5.0,7.00%,0.35,1.650%,0.08,7.60%,0.38,0.00%,0.0,0.81,4.19
CELEIRO CENTRO,Arroz Crystal,34.0,7.00%,2.38,0.165%,0.06,0.76%,0.26,0.00%,0.0,2.69,31.31
CELEIRO CENTRO,Arroz Painho,25.0,7.00%,1.75,0.165%,0.04,0.76%,0.19,0.00%,0.0,1.98,23.02
CELEIRO CENTRO,Arroz Tio Jorge,26.0,7.00%,1.82,0.165%,0.04,0.76%,0.2,0.00%,0.0,2.06,23.94
CELEIRO CENTRO,Arroz Vasconcelos,28.0,7.00%,1.96,0.165%,0.05,0.76%,0.21,0.00%,0.0,2.22,25.78
CELEIRO CENTRO,Feijão carioca cristal,9.0,7.00%,0.63,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.63,8.37
CELEIRO CENTRO,Feijão carioca filetto,5.0,7.00%,0.35,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.35,4.65
CELEIRO CENTRO,Feijão Califórnia,8.0,7.00%,0.56,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.56,7.44
CELEIRO CENTRO,Feijão rajada cristal,11.0,7.00%,0.77,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.77,10.23
CELEIRO CENTRO,Açucar cristal,18.0,7.00%,1.26,1.650%,0.3,7.60%,1.37,0.00%,0.0,2.93,15.07
